OrderID,OrderTransactTime,ExecutionTransactTime,Symbol,Side,OrderQty,LimitPrice,AvgPx,LastMkt
ID79114,20250910-09:17:55.893,20250910-09:17:55.996,MWYN,2,109,2.52,2.540000,ID1516
ID79129,20250910-09:17:56.892,20250910-09:17:56.994,AEHL,2,15,14.5,15.420000,ID1516
ID79153,20250910-09:17:58.915,20250910-09:17:59.017,CGTL,1,100,1.06,1.040000,ID1516
ID78709,20250910-09:17:27.055,20250910-09:17:59.247,INLF,1,977,1.04,1.040000,ID1516
ID73185,20250910-09:10:33.448,20250910-09:18:00.004,MWYN,1,200,2.5,2.500000,ID1516
ID76460,20250910-09:14:23.089,20250910-09:18:00.011,MWYN,1,168,2.5,2.500000,ID1516
ID76437,20250910-09:14:21.559,20250910-09:18:00.011,MWYN,1,544,2.5,2.500000,ID1516
ID79172,20250910-09:18:00.467,20250910-09:18:00.821,MWYN,2,1,2.51,2.510000,ID1516
ID79185,20250910-09:18:00.822,20250910-09:18:00.926,JBDI,1,90,3.24,2.810000,ID1516
ID78360,20250910-09:16:59.874,20250910-09:18:01.580,AMD,1,15,161,161.000000,ID1516
ID79196,20250910-09:18:01.516,20250910-09:18:01.619,INLF,1,50,1.04,1.040000,ID1516
ID79199,20250910-09:18:01.526,20250910-09:18:01.629,MWYN,2,10,2.4,2.540000,ID1516
ID79207,20250910-09:18:01.896,20250910-09:18:02.000,MWYN,2,4,2.52,2.540000,ID1516
ID79214,20250910-09:18:02.285,20250910-09:18:02.389,AEHL,1,17,15.68,15.020000,ID1516
ID79218,20250910-09:18:02.674,20250910-09:18:02.777,AEHL,1,7,15.41,15.220000,ID1516
ID79228,20250910-09:18:03.717,20250910-09:18:03.819,TQQQ,1,51,94.12,94.120000,ID1516
ID79232,20250910-09:18:03.933,20250910-09:18:04.037,AEHL,1,6,16.05,14.836667,ID1516
ID79242,20250910-09:18:04.324,20250910-09:18:04.427,AEHL,1,34,15.45,14.780000,ID1516
ID78815,20250910-09:17:35.968,20250910-09:18:04.498,CGTL,1,1106,1,1.000000,ID1516
ID78825,20250910-09:17:36.736,20250910-09:18:04.498,CGTL,1,299,1,1.000000,ID1516
ID79222,20250910-09:18:03.218,20250910-09:18:04.703,ASST,1,18,13.42,13.420000,ID1516
ID79249,20250910-09:18:04.750,20250910-09:18:04.854,BIYA,2,325,0.74,0.740062,ID1516
